序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,总市值(元) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
49,601600,中国铝业,SH,12.80,4.07,2195.84亿,17.33,0.500,12.80,12.54,2.31,1.04,3.04亿,38.67亿,4.33,2.9307,1686.19亿,1000004212,False
50,600406,国电南瑞,SH,26.87,0.04,2158.13亿,27.02,0.010,27.06,26.41,1.06,1.10,8455.64万,22.63亿,11.11,4.3847,2151.80亿,1000001149,False
51,000001,平安银行,SZ,11.09,-1.07,2152.12亿,5.05,-0.120,11.23,11.07,0.35,1.37,6809.15万,7.58亿,1.26,0.4769,2152.08亿,1000001536,False
52,000651,格力电器,SZ,37.32,-0.19,2090.44亿,6.60,-0.070,37.52,37.23,0.40,1.06,2193.75万,8.18亿,2.44,1.5057,2058.26亿,1000004198,False
53,002142,宁波银行,SZ,31.30,-0.70,2066.92亿,7.05,-0.220,31.82,31.23,0.24,0.87,1614.29万,5.08亿,2.30,0.9290,2065.76亿,1000008475,False
54,600989,宝丰能源,SH,28.16,-0.95,2065.07亿,18.19,-0.270,28.49,28.04,1.08,0.71,7950.15万,22.41亿,4.55,4.2676,2065.07亿,1001247908,False
55,601668,中国建筑,SH,4.98,0.00,2057.76亿,4.61,0.000,5.00,4.96,0.28,0.77,1.16亿,5.78亿,1.35,0.4267,2057.76亿,1000007897,False
56,000792,盐湖股份,SZ,38.51,4.05,2037.78亿,19.84,1.500,38.93,37.22,2.11,1.12,1.12亿,42.76亿,6.01,4.5651,2037.77亿,1000000845,False
57,600919,江苏银行,SH,10.90,-0.46,2000.29亿,5.85,-0.050,11.01,10.84,0.38,1.26,7031.57万,7.68亿,1.64,0.8057,2000.29亿,1000327152,False
58,601336,新华保险,SH,63.89,3.62,1993.08亿,5.49,2.230,64.13,61.38,1.41,1.59,2943.50万,18.50亿,1.37,1.7868,1332.39亿,1000002881,False
59,600690,海尔智家,SH,21.06,0.05,1974.93亿,10.10,0.010,21.28,21.03,0.74,1.05,4604.20万,9.72亿,2.53,1.6638,1316.89亿,1000002439,False
60,300760,迈瑞医疗,SZ,160.46,0.10,1945.48亿,23.91,0.160,160.86,159.46,0.45,0.64,544.93万,8.72亿,5.98,5.1072,1943.81亿,1001002427,False
61,600188,兖矿能源,SH,19.37,0.94,1944.26亿,23.20,0.180,19.49,19.02,0.71,0.70,4260.06万,8.23亿,5.80,2.7111,1154.71亿,1000000318,False
62,002352,顺丰控股,SZ,37.56,-0.27,1892.81亿,17.03,-0.100,37.94,37.40,0.33,0.84,1582.10万,5.95亿,4.26,1.9067,1791.62亿,1000008386,False
63,601818,光大银行,SH,3.20,-0.31,1890.74亿,4.87,-0.010,3.21,3.19,0.27,1.21,1.24亿,3.96亿,1.22,0.3830,1485.02亿,1000000869,False
64,600031,三一重工,SH,20.39,-1.31,1874.86亿,22.30,-0.270,20.96,20.21,0.97,1.35,8214.11万,16.81亿,5.57,2.1225,1727.93亿,1000000456,False
65,300124,汇川技术,SZ,66.84,-1.56,1809.51亿,34.89,-1.060,68.68,66.66,1.71,1.63,4105.80万,27.61亿,10.63,5.2625,1603.20亿,1000007854,False
66,600547,山东黄金,SH,39.25,1.21,1809.40亿,38.18,0.470,39.43,38.40,1.11,0.93,4004.22万,15.61亿,9.54,5.8450,1418.67亿,1000001140,False
67,601985,中国核电,SH,8.76,-0.11,1801.76亿,22.96,-0.010,8.80,8.72,0.45,0.96,8423.32万,7.37亿,5.63,1.5645,1654.18亿,1000309725,False
68,601633,长城汽车,SH,20.94,0.05,1792.02亿,18.16,0.010,21.20,20.84,0.23,0.96,1414.98万,2.97亿,4.54,2.0467,1300.22亿,1000001987,False
69,600025,华能水电,SH,9.56,0.74,1781.13亿,20.69,0.070,9.59,9.46,0.14,1.11,2699.20万,2.57亿,5.91,2.5926,1781.13亿,1000730063,False
70,601766,中国中车,SH,6.19,0.00,1776.46亿,13.48,0.000,6.21,6.16,0.38,0.90,9276.79万,5.73亿,3.37,1.0321,1505.89亿,1000007077,False
71,600809,山西汾酒,SH,141.16,1.52,1722.10亿,14.00,2.110,142.26,138.21,0.51,0.85,620.61万,8.73亿,3.78,4.4407,1722.10亿,1000000078,False
72,601688,华泰证券,SH,19.01,0.74,1716.01亿,10.47,0.140,19.23,18.92,1.36,1.07,9958.33万,18.98亿,2.62,0.9883,1389.01亿,1000000059,False
73,600346,恒力石化,SH,24.30,2.62,1710.50亿,24.18,0.620,24.50,23.57,0.58,1.02,4095.14万,9.90亿,6.04,2.5617,1710.50亿,1000001976,False
74,601066,中信建投,SH,21.92,0.37,1700.27亿,18.01,0.080,22.05,21.86,0.12,0.69,806.14万,1.77亿,4.50,2.0496,1423.85亿,1001030413,False
75,000063,中兴通讯,SZ,35.40,0.54,1693.37亿,30.14,0.190,35.59,34.95,1.78,0.62,7156.64万,25.26亿,7.54,2.2489,1425.78亿,1000001860,False
76,601995,中金公司,SH,33.92,1.41,1637.41亿,16.72,0.470,34.15,33.78,0.66,1.27,1919.12万,6.51亿,4.18,1.6381,991.67亿,1002243655,False
77,600362,江西铜业,SH,47.22,0.75,1635.10亿,22.93,0.350,47.55,46.64,2.18,1.09,4519.45万,21.28亿,5.73,2.0118,979.93亿,1000000878,False
78,600016,民生银行,SH,3.72,-0.27,1628.71亿,5.33,-0.010,3.74,3.71,0.37,1.03,1.32亿,4.92亿,1.33,0.2885,1319.19亿,1000002334,False
79,600887,伊利股份,SH,25.60,-0.35,1619.29亿,20.21,-0.090,25.73,25.56,0.74,1.49,4651.39万,11.91亿,3.88,3.0395,1611.25亿,1000004059,False
80,600104,上汽集团,SH,14.05,0.07,1615.09亿,15.98,0.010,14.12,14.02,0.37,1.07,4296.25万,6.04亿,4.00,0.5405,1615.09亿,1000002328,False
81,601127,赛力斯,SH,89.91,1.80,1566.22亿,26.29,1.590,90.10,88.58,1.11,1.19,1729.87万,15.50亿,6.57,3.8277,1400.08亿,1000319214,False
82,300442,润泽科技,SZ,95.78,6.12,1565.37亿,30.09,5.520,97.98,90.26,4.69,1.37,7650.44万,72.45亿,67.21,10.9570,1561.05亿,1000316971,False
83,000776,广发证券,SZ,19.88,0.10,1555.58亿,11.35,0.020,20.13,19.77,0.92,0.70,5437.45万,10.83亿,2.84,1.2011,1173.72亿,1000000404,False
84,600660,福耀玻璃,SH,59.15,0.20,1543.66亿,16.58,0.120,59.68,58.81,0.50,0.98,1010.76万,5.99亿,4.14,4.1102,1184.77亿,1000002179,False
85,000568,泸州老窖,SZ,103.05,-0.04,1516.84亿,12.00,-0.040,103.56,102.45,0.40,0.82,595.09万,6.12亿,3.52,3.1812,1516.13亿,1000002366,False
86,000725,京东方Ａ,SZ,4.03,0.75,1492.89亿,25.49,0.030,4.04,3.98,1.14,0.92,4.15亿,16.64亿,6.37,1.1101,1464.57亿,1000001772,False
87,300014,亿纬锂能,SZ,70.98,0.94,1488.64亿,36.51,0.660,72.97,70.59,3.77,0.94,7678.18万,54.89亿,9.00,3.2848,1445.48亿,1000008195,False
88,601872,招商轮船,SH,18.08,-1.95,1459.88亿,24.28,-0.360,18.69,18.00,1.45,0.62,1.17亿,21.41亿,6.07,3.3946,1459.88亿,1000006672,False
89,600875,东方电气,SH,42.04,9.99,1453.89亿,37.95,3.820,42.04,38.87,6.72,1.52,1.52亿,62.64亿,9.49,3.2141,951.52亿,1000004047,False
90,600050,中国联通,SH,4.60,0.66,1438.16亿,15.76,0.030,4.60,4.55,0.45,1.30,1.40亿,6.39亿,3.94,0.8530,1425.56亿,1000002497,False
91,601888,中国中免,SH,68.49,0.16,1423.08亿,39.68,0.110,68.80,68.20,0.94,0.86,1827.11万,12.50亿,9.92,2.5655,1337.25亿,1000008074,False
92,601881,中国银河,SH,12.98,-0.08,1419.29亿,11.34,-0.010,13.10,12.96,0.49,0.96,3572.40万,4.65亿,2.83,1.2037,940.20亿,1000350709,False
93,002938,鹏鼎控股,SZ,61.00,2.66,1414.01亿,37.83,1.580,62.53,59.18,1.70,0.96,3914.83万,23.88亿,9.46,4.1422,1408.75亿,1001194779,False
94,600089,特变电工,SH,27.95,-0.96,1412.26亿,23.72,-0.270,27.96,27.11,4.33,1.31,2.19亿,60.13亿,5.93,2.0206,1412.26亿,1000002271,False
95,601229,上海银行,SH,9.80,-0.81,1392.48亿,5.76,-0.080,9.97,9.79,0.26,1.03,3669.77万,3.62亿,1.93,0.5656,1392.48亿,1000327154,False
96,600019,宝钢股份,SH,6.36,0.00,1385.34亿,14.68,0.000,6.40,6.34,0.37,1.06,8020.74万,5.10亿,4.35,0.6783,1385.34亿,1000002335,False
97,000408,藏格矿业,SZ,87.94,4.10,1380.86亿,35.84,3.460,88.17,84.30,1.23,1.60,1928.31万,16.72亿,8.96,9.9385,1380.84亿,1000002105,False
98,600999,招商证券,SH,15.85,0.00,1378.40亿,11.16,0.000,15.97,15.82,0.40,0.95,2956.94万,4.70亿,2.79,1.1391,1176.39亿,1000001460,False
99,601009,南京银行,SH,11.11,-0.71,1373.59亿,6.30,-0.080,11.27,11.09,0.27,0.91,3368.63万,3.76亿,1.91,0.7567,1373.59亿,1000004113,False
100,300433,蓝思科技,SZ,25.64,-13.35,1353.47亿,39.35,-3.950,27.18,24.94,4.93,3.03,2.45亿,62.80亿,-226.18,2.4782,1274.23亿,1000311368,False
101,688525,佰维存储,SH,286.80,0.49,1350.36亿,34.19,1.390,291.80,271.99,9.43,1.07,4440.08万,125.94亿,11.65,15.8640,1350.36亿,1003047674,False
102,600489,中金黄金,SH,27.07,1.23,1312.17亿,29.68,0.330,27.16,26.74,0.99,0.87,4819.55万,12.98亿,8.92,4.4944,1312.17亿,1000001039,False
103,601390,中国中铁,SH,5.30,0.19,1308.37亿,5.72,0.010,5.31,5.27,0.56,0.83,1.15亿,6.10亿,1.43,0.4111,1085.38亿,1000007457,False
